Rank	Team	Rating	SOS	Raw Win%	W	L	T	GF	GA	GD
1	Winston Churchill	1646.3647	1508.8766	0.833	10	2	0	61	19	42
2	Walter Johnson	1640.6923	1512.5209	0.750	9	3	0	54	24	30
3	Wootton	1562.9181	1507.6192	0.667	8	4	0	43	32	11
4	Rockville-Magruder	1540.0143	1493.6727	0.583	6	4	2	41	33	8
5	Silver Spring	1533.0300	1495.4863	0.625	6	3	3	57	48	9
6	Sherwood	1500.0680	1504.8627	0.500	6	6	0	45	41	4
7	Richard Montgomery	1483.1905	1483.3532	0.500	6	6	0	49	36	13
8	DC Stars Varsity	1474.8694	1497.8837	0.583	7	5	0	36	49	-13
9	Walt Whitman	1461.4309	1515.2034	0.417	5	7	0	35	50	-15
10	Bethesda-Chevy Chase	1392.0308	1503.3415	0.167	2	10	0	20	61	-41
11	NWQO	1383.9070	1491.8225	0.208	2	9	1	44	69	-25
12	Upper Montgomery	1381.4839	1498.6562	0.167	2	10	0	50	73	-23
