Week	Bethesda-Chevy Chase	DC Stars Varsity	NWQO	Richard Montgomery	Rockville-Magruder	Sherwood	Silver Spring	Upper Montgomery	Walt Whitman	Walter Johnson	Winston Churchill	Wootton
2025-W42	1474.2490	1471.3318	1488.9096	1474.2490	1511.0904	1511.0904	1525.7510	1528.6682	1482.4222	1525.7510	1488.9096	1517.5778
2025-W43	1457.5239	1489.9469	1470.2946	1499.1906	1486.1487	1491.8142	1536.9493	1517.4698	1501.6983	1502.9639	1505.6347	1540.3649
2025-W44	1448.0268	1489.9469	1503.5446	1499.1906	1488.4717	1514.8231	1534.6264	1484.2198	1511.1954	1479.9551	1537.6647	1508.3349
2025-W45	1434.0125	1510.1838	1474.4596	1528.2756	1510.3387	1492.1614	1514.3895	1462.3528	1525.2097	1465.6458	1551.9740	1530.9966
2025-W46	1414.0264	1521.2799	1455.1671	1550.8909	1499.2426	1492.1614	1533.6821	1439.7375	1501.7242	1465.6458	1575.4595	1550.9827
2025-W47	1392.4647	1510.6848	1445.7368	1584.3007	1500.8234	1513.7231	1532.1012	1426.3530	1489.2823	1478.0877	1595.8533	1530.5890
2025-W49	1380.0411	1521.8876	1418.3090	1563.5196	1481.9015	1502.5203	1502.6188	1453.7808	1518.7648	1497.0097	1608.2768	1551.3701
2025-W50	1366.3850	1490.8188	1395.4898	1577.1757	1504.7206	1483.2452	1526.7478	1429.6518	1495.7642	1528.0784	1627.5519	1574.3707
2025-W51	1355.7881	1508.6870	1407.6146	1547.8574	1518.1019	1508.3785	1511.5254	1416.2705	1477.8961	1575.3400	1642.7744	1529.7663
2026-W01	1386.0653	1491.2753	1377.3374	1529.7526	1490.5419	1534.1803	1528.9371	1400.9866	1452.0942	1590.6238	1660.8792	1557.3262
2026-W02	1380.4735	1499.2206	1383.9070	1504.6314	1515.6631	1510.7306	1522.3674	1393.0413	1439.9900	1614.0736	1672.9835	1562.9181
2026-W04	1392.0308	1474.8694	1383.9070	1483.1905	1540.0143	1500.0680	1533.0300	1381.4839	1461.4309	1640.6923	1646.3647	1562.9181
