Rank	Team	Rating	SOS	Raw Win%	W	L	T	GF	GA	GD
1	Winston Churchill	1603.2019	1506.4727	0.833	10	2	0	61	19	42
2	Walter Johnson	1592.8580	1510.4228	0.750	9	3	0	54	24	30
3	Wootton	1548.5284	1501.6922	0.667	8	4	0	43	32	11
4	Silver Spring	1536.9137	1498.8670	0.625	6	3	3	57	48	9
5	Rockville-Magruder	1529.5557	1498.0342	0.583	6	4	2	41	33	8
6	DC Stars Varsity	1518.9607	1497.6042	0.583	7	5	0	36	49	-13
7	Sherwood	1498.7038	1504.1667	0.500	6	6	0	45	41	4
8	Richard Montgomery	1481.0213	1487.0157	0.500	6	6	0	49	36	13
9	Walt Whitman	1476.8997	1513.4449	0.417	5	7	0	35	50	-15
10	NWQO	1412.2643	1493.8189	0.208	2	9	1	44	69	-25
11	Bethesda-Chevy Chase	1409.2888	1500.8365	0.167	2	10	0	20	61	-41
12	Upper Montgomery	1391.8038	1496.9089	0.167	2	10	0	50	73	-23
