Week	Bethesda-Chevy Chase	DC Stars Varsity	NWQO	Richard Montgomery	Rockville-Magruder	Sherwood	Silver Spring	Upper Montgomery	Walt Whitman	Walter Johnson	Winston Churchill	Wootton
2025-W42	1484.0000	1484.0000	1484.0000	1484.0000	1516.0000	1516.0000	1516.0000	1516.0000	1484.0000	1516.0000	1484.0000	1516.0000
2025-W43	1468.0000	1500.0000	1468.0000	1501.4695	1498.5305	1498.5305	1532.0000	1500.0000	1501.4695	1500.0000	1500.0000	1532.0000
2025-W44	1453.5366	1500.0000	1485.4695	1501.4695	1500.0671	1514.5982	1530.4634	1482.5305	1515.9329	1483.9323	1517.4695	1514.5305
2025-W45	1440.3795	1517.3993	1470.2058	1516.7332	1515.2602	1498.5951	1513.0641	1467.3374	1529.0900	1469.4720	1531.9298	1530.5336
2025-W46	1428.4405	1533.3008	1456.1696	1530.4736	1499.3587	1498.5951	1527.1004	1453.5970	1513.2207	1469.4720	1547.7991	1542.4726
2025-W47	1415.6281	1530.3899	1442.9502	1558.4202	1500.6335	1511.4075	1525.8255	1441.7806	1495.2166	1487.4761	1563.5538	1526.7179
2025-W49	1406.0565	1545.5166	1426.8964	1540.9643	1484.0279	1496.2808	1508.4196	1457.8345	1512.6226	1504.0817	1573.1254	1544.1738
2025-W50	1395.9747	1527.6175	1413.5039	1551.0460	1497.4204	1483.7631	1522.1064	1444.1477	1498.0716	1521.9809	1585.6432	1558.7248
2025-W51	1384.7600	1542.2601	1424.8016	1528.5876	1510.9861	1514.3773	1509.0002	1430.5819	1483.4289	1549.4263	1598.7494	1523.0405
2026-W01	1402.5959	1524.7331	1406.9658	1515.7755	1495.5410	1528.9558	1526.5272	1419.8510	1468.8504	1560.1573	1611.5615	1538.4856
2026-W02	1392.5531	1536.0446	1412.2643	1498.8447	1512.4718	1514.3888	1521.2287	1408.5394	1459.0762	1574.7242	1621.3357	1548.5284
2026-W04	1409.2888	1518.9607	1412.2643	1481.0213	1529.5557	1498.7038	1536.9137	1391.8038	1476.8997	1592.8580	1603.2019	1548.5284
