Team	Bethesda-Chevy Chase	DC Stars Varsity	NWQO	Richard Montgomery	Rockville-Magruder	Sherwood	Silver Spring	Upper Montgomery	Walt Whitman	Walter Johnson	Winston Churchill	Wootton
Bethesda-Chevy Chase	14	0	-1	-1	0	-2	0	-1	-2	-1	-2	-2
DC Stars Varsity	0	14	-2	-1	-2	-1	-2	-2	-1	-1	0	0
NWQO	-1	-2	14	-2	-2	0	-2	-2	0	-1	0	0
Richard Montgomery	-1	-1	-2	14	-2	0	-1	-2	-1	0	-1	-1
Rockville-Magruder	0	-2	-2	-2	14	0	-2	-2	0	-1	0	-1
Sherwood	-2	-1	0	0	0	14	-1	0	-2	-2	-2	-2
Silver Spring	0	-2	-2	-1	-2	-1	14	-2	-1	0	-1	0
Upper Montgomery	-1	-2	-2	-2	-2	0	-2	14	0	-1	0	0
Walt Whitman	-2	-1	0	-1	0	-2	-1	0	14	-1	-2	-2
Walter Johnson	-1	-1	-1	0	-1	-2	0	-1	-1	14	-2	-2
Winston Churchill	-2	0	0	-1	0	-2	-1	0	-2	-2	14	-2
Wootton	-2	0	0	-1	-1	-2	0	0	-2	-2	-2	14
