Rank	Team	Rating	SOS	Raw Win%	W	L	T	GF	GA	GD
1	Winston Churchill	0.8257	0.5467	0.833	10	2	0	61	19	42
2	Walter Johnson	0.7414	0.5316	0.750	9	3	0	54	24	30
3	Wootton	0.6987	0.5651	0.667	8	4	0	43	32	11
4	Sherwood	0.5802	0.5936	0.500	6	6	0	45	41	4
5	Silver Spring	0.5462	0.4289	0.625	6	3	3	57	48	9
6	Rockville-Magruder	0.5133	0.4322	0.583	6	4	2	41	33	8
7	DC Stars Varsity	0.5097	0.4280	0.583	7	5	0	36	49	-13
8	Walt Whitman	0.4987	0.5819	0.417	5	7	0	35	50	-15
9	Richard Montgomery	0.4381	0.4277	0.500	6	6	0	49	36	13
10	Bethesda-Chevy Chase	0.2689	0.5638	0.167	2	10	0	20	61	-41
11	NWQO	0.2052	0.4477	0.208	2	9	1	44	69	-25
12	Upper Montgomery	0.1739	0.4529	0.167	2	10	0	50	73	-23
