Week	Bethesda-Chevy Chase	DC Stars Varsity	NWQO	Richard Montgomery	Rockville-Magruder	Sherwood	Silver Spring	Upper Montgomery	Walt Whitman	Walter Johnson	Winston Churchill	Wootton
2025-W42	1474.2490	1474.2490	1488.9096	1474.2490	1511.0904	1511.0904	1525.7510	1525.7510	1482.4222	1525.7510	1488.9096	1517.5778
2025-W43	1457.5239	1492.6910	1470.4677	1499.1906	1486.1487	1491.8142	1536.8414	1514.6607	1501.6983	1502.9639	1505.6347	1540.3649
2025-W44	1448.0268	1492.6910	1500.0713	1499.1906	1488.4668	1514.8231	1534.5233	1485.0571	1511.1954	1479.9551	1534.4055	1511.5941
2025-W45	1434.0125	1512.7566	1474.2446	1525.0172	1510.3959	1492.4034	1514.4577	1463.1280	1525.2097	1465.4683	1548.8922	1534.0138
2025-W46	1416.2812	1523.7598	1454.9721	1545.6487	1499.3927	1492.4034	1533.7303	1442.4966	1501.4669	1465.4683	1572.6351	1551.7452
2025-W47	1396.7591	1512.5357	1445.6157	1580.0510	1500.9688	1511.9255	1532.1541	1428.6746	1489.0280	1477.9072	1593.2877	1531.0926
2025-W49	1385.2269	1523.6035	1418.4005	1559.5564	1482.0274	1500.8577	1502.6446	1455.8898	1518.5375	1496.8486	1604.8198	1551.5871
2025-W50	1372.4259	1495.5320	1397.9061	1572.3575	1502.5219	1483.4144	1524.4868	1434.0476	1495.5737	1524.9201	1622.2632	1574.5510
2025-W51	1361.5564	1513.1123	1410.9234	1543.5184	1516.2522	1508.8206	1509.0735	1420.3173	1477.9935	1568.1600	1637.6764	1532.5961
2026-W01	1391.6164	1495.2974	1380.8633	1525.3574	1491.8926	1531.9684	1526.8884	1405.8776	1454.8457	1582.5996	1655.8374	1556.9557
2026-W02	1385.8703	1503.2708	1387.2182	1500.6714	1516.5787	1510.4392	1520.5335	1397.9043	1443.5571	1604.1289	1667.1260	1562.7018
2026-W04	1397.4077	1478.6545	1387.2182	1479.6849	1541.1949	1499.7202	1531.2526	1386.3668	1464.5435	1631.0590	1640.1958	1562.7018
